,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
425,RSS3USDT,MATICUSDT,0.0,-4.27,-3.37,0.13,54
571,WAVESUSDT,LRCUSDT,0.01,-3.97,-3.37,8.13,49
277,PEOPLEUSDT,REQUSDT,0.03,-3.53,-3.37,0.26,45
390,REQUSDT,BANDUSDT,0.02,-3.74,-3.37,0.06,40
642,XRPUSDT,ANKRUSDT,0.04,-3.42,-3.37,16.71,40
532,UNIUSDT,MINAUSDT,0.0,-5.74,-3.37,11.65,39
484,SWEATUSDT,KLAYUSDT,0.0,-4.62,-3.37,0.06,39
599,XEMUSDT,CVCUSDT,0.02,-3.73,-3.37,0.35,38
477,STXUSDT,GRTUSDT,0.0,-4.28,-3.37,3.28,38
84,AAVEUSDT,HOTUSDT,0.0,-4.68,-3.37,42447.4,38
491,TOMOUSDT,C98USDT,0.0,-4.29,-3.37,1.52,37
596,XEMUSDT,CROUSDT,0.03,-3.53,-3.37,0.47,37
93,AAVEUSDT,LTCUSDT,0.02,-3.65,-3.37,0.96,37
475,STXUSDT,CTKUSDT,0.03,-3.48,-3.37,0.35,37
326,QNTUSDT,ENSUSDT,0.0,-4.34,-3.37,9.66,37
258,PEOPLEUSDT,BANDUSDT,0.0,-4.34,-3.37,0.01,37
273,PEOPLEUSDT,MANAUSDT,0.0,-4.39,-3.37,0.04,37
556,VETUSDT,AVAXUSDT,0.01,-3.98,-3.37,0.0,36
388,RENUSDT,ZILUSDT,0.0,-5.34,-3.37,2.9,36
1,10000NFTUSDT,BSVUSDT,0.02,-3.76,-3.37,0.0,36
415,RSS3USDT,COMPUSDT,0.02,-3.6,-3.37,0.0,36
569,WAVESUSDT,CROUSDT,0.0,-4.58,-3.37,29.24,35
82,AAVEUSDT,ETHWUSDT,0.0,-4.23,-3.37,21.18,35
8,10000NFTUSDT,TWTUSDT,0.01,-3.93,-3.37,0.0,35
65,1INCHUSDT,SUSHIUSDT,0.01,-4.09,-3.37,0.39,35
660,XTZUSDT,SANDUSDT,0.0,-4.78,-3.37,1.41,34
102,AAVEUSDT,SCRTUSDT,0.04,-3.39,-3.37,107.57,34
306,QNTUSDT,BNBUSDT,0.03,-3.52,-3.37,0.47,34
315,QNTUSDT,CROUSDT,0.04,-3.44,-3.37,1817.2,34
413,RSS3USDT,BSVUSDT,0.0,-4.63,-3.37,0.0,34
471,STXUSDT,BITUSDT,0.0,-4.32,-3.37,0.53,34
429,RUNEUSDT,MANAUSDT,0.01,-3.83,-3.37,2.47,33
476,STXUSDT,GMXUSDT,0.01,-3.95,-3.37,0.01,33
162,ACHUSDT,CTCUSDT,0.0,-6.04,-3.37,0.02,33
604,XEMUSDT,ETCUSDT,0.0,-4.14,-3.37,0.0,33
590,XEMUSDT,BOBAUSDT,0.03,-3.53,-3.37,0.18,33
374,RENUSDT,GMXUSDT,0.05,-3.38,-3.37,0.0,33
447,SFPUSDT,IOTXUSDT,0.02,-3.64,-3.37,15.79,32
478,STXUSDT,JASMYUSDT,0.0,-4.6,-3.37,53.28,32
480,STXUSDT,OGNUSDT,0.03,-3.59,-3.37,2.32,32
481,STXUSDT,ONEUSDT,0.0,-4.3,-3.37,15.55,32
60,1INCHUSDT,MINAUSDT,0.0,-4.59,-3.37,0.88,32
494,TOMOUSDT,DUSKUSDT,0.0,-4.72,-3.37,3.26,32
432,RUNEUSDT,RSS3USDT,0.0,-4.2,-3.37,13.46,32
407,RSS3USDT,10000NFTUSDT,0.04,-3.39,-3.37,28.06,32
489,TOMOUSDT,BELUSDT,0.01,-3.83,-3.37,0.66,31
288,PEOPLEUSDT,XMRUSDT,0.01,-4.09,-3.37,0.0,31
622,XMRUSDT,ANKRUSDT,0.01,-3.78,-3.37,7202.63,31
436,RVNUSDT,FXSUSDT,0.0,-4.42,-3.37,0.0,31
398,REQUSDT,MINAUSDT,0.01,-3.82,-3.37,0.19,31
595,XEMUSDT,COMPUSDT,0.03,-3.55,-3.37,0.0,31
462,SOLUSDT,REQUSDT,0.02,-3.61,-3.37,225.16,31
568,WAVESUSDT,COMPUSDT,0.0,-4.3,-3.37,0.04,31
